doc_id,title,description,consulta_1,consulta_2
0,"Samsung Smart TV 55"" Neo QLED 4K 55QN85A Mini Led Painel 120hz Processador IA Som em Movimento Tela sem Limites",,1,0
1,"Smart TV LED LG 24"" Monitor Wi-Fi Webos 3.5 DTV Machine Ready","Smart TV Monitor LG 24"" LED Wi-Fi webOS 3.5 DTV Bivolt 24TL520S  Smart TV LG acompanha o sistema webOS 3.5, onde vem com tudo para você aproveitar a internet ao máximo. Navegue por sites, assista séries e vídeos em streaming, acesse aplicativos e muito mais. Televisor ou monitor, no trabalho ou lazer você vai ter uma verdadeira experiência digital.  Smart TV O novo sistema webOS 3.5 vem com tudo para você aproveitar a internet ao máximo. Navegue por sites, assista séries e vídeos em streaming, acesse aplicativos e muito mais. No trabalho ou lazer você vai ter uma verdadeira experiência digital.  O Wi-Fi Integrado permite que você simplesmente conecte sua rede de preferência e pronto. Já começa a navegar por qualquer site ou aplicativo.",0,0
2,"Samsung Smart TV 50"" QLED 4K The Frame 2021 50LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão Molduras Customizáveis Modo Arte",,0,0
3,"Android Tv Led 43"" Tcl 43s6500 Bluetooth, Controle Remoto Com Comando De Voz E Google Assistant",,0,0
4,Smart TV LED 55” Philco PTV55Q20SNBL Ultra HD 4k HDR Borda Infinita Com Aplicativos E Audio Dolby,,0,0
5,"Samsung Smart TV 65'' QLED 8K 65Q800T, Processador com IA, Borda Infinita, Alexa built in, Som em Movimento, Modo Ambiente 3.0",,1,0
6,"Samsung Smart Tv 55"" Crystal Uhd 4k 55au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites.",,1,0
7,Smart TV LED 60” LG 60UP7750 4K UHD Wi-Fi Bluetooth HDR Inteligência Artificial Thinq Smart Magic Google Alexa,,0,0
8,"Samsung Smart TV 55"" QLED 4K The Frame 2021 55LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão Molduras customizáveis Modo Arte",,0,0
9,Smart TV LED 43 Full HD LG 43LM 631 pro 3 hdmi 2 USB Wi-Fi ThinQ Al Conversor Digital,"Experimente o melhor da tecnologia com a Smart pro 43'' Full HD da lg, oferece tela de LED e resolução Full HD de 1920x1080 pixels obtendo uma incrível experiência de imagem, possui três entradas hdmi e duas usb, proporcionando mais possibilidades de conexão. Acompanha compatibilidade com o sistema de Inteligência Artificial ThinQ Al, conta com Bluetooth, sistema operacional webOS 4.5, Music Player, LG Content Store, Modo Hotel, painel de controle, galeria, conteúdos vr 360, miracast overlay, hdr e potência de som de 20W. Acesse aos aplicativos Netflix e Youtube, graças a conexão Smart, navegue na internet conectando-se diretamente a rede Wi-Fi. Além disso, seu design arrojado e diversos modos predefinidos de imagem fazem da Smart 43LM631C0SB uma TV elegante e eficiente.Modelo:43LM631C0SB. BWZ Outras Características do Produto: Sistema operacional: webOS 4.5 Fornece Modo Hotel Compatível com tecnologia ThinQ Al Fornece Wi-Fi, Bluetooth Oferece processador Quad Core Canais: 2.0 Dimensões do produto sem base (l x A x p): 97,3 x 57,2 x 8,5 cm Dimensões do produto com base (l x A x p): 97,3 x 62,5 x 21,8 cm PN:43LM631C0SB. BWZ Cor: Iron Gray Smart TV: Sim Tecnologia da Tela: LED Tamanho da Tela:43"" Resolução: Full hd Resolução da Tela:1920 x 1080 pixels 3D: Não Frequência:60 Hz Conversor Digital: Sim Modo Hotel:sim Wireless Integrado: Sim Outras Características de Vídeo: Equipada com Galeria, Conteúdos vr 360, LG Content Store, Miracast Overlay, hdmi arc, hdr, dtv. Formato de tela: 16:9 Potência de Som (RMS):20W Outras Características de Áudio: Music Player Sistema de som: Virtual Surround Sound Conexões:03 x hdmi 02 x usb 01 x Antena 01 x AV/Componente Conjugado 01 x Saída Digital Óptica 01 x lan (RJ45) Alimentação (Voltagem): Bivolt Consumo:68W VESA:200x200 Conteúdo da Embalagem:01 x Smart tv 01 x Manual de Instruções Fabricante: LG Telefone de Atendimento:0800-707-5454 / (11) 2388-8213 Garantia:12 Meses Garantia com a Fabricante: Sim Dimensões:106,2 x 66,5 x 15,3 cm Peso:10,2 Kg",0,0
