index,consulta_1_B1,consulta_2_B1,consulta_1_B2,consulta_2_B2,consulta_1_B3,consulta_2_B3,consulta_1_B4,consulta_2_B4
0,50,3.0,32.0,72.0,4,4,4.0,94.0
1,3,52.0,22.0,82.0,50,50,5.0,99.0
2,32,55.0,50.0,56.0,5,5,50.0,72.0
3,52,16.0,37.0,77.0,3,3,32.0,82.0
4,94,56.0,69.0,64.0,52,52,64.0,56.0
5,99,77.0,9.0,73.0,32,32,73.0,77.0
6,24,72.0,6.0,106.0,94,94,106.0,90.0
7,46,82.0,13.0,59.0,99,99,59.0,101.0
8,41,50.0,21.0,87.0,24,24,87.0,63.0
9,23,53.0,25.0,92.0,46,46,92.0,76.0
10,2,94.0,31.0,65.0,41,41,67.0,64.0
11,8,99.0,39.0,101.0,23,23,62.0,73.0
12,10,64.0,11.0,63.0,2,2,80.0,106.0
13,55,73.0,17.0,76.0,8,8,89.0,59.0
14,16,106.0,23.0,55.0,10,10,93.0,87.0
15,22,59.0,94.0,74.0,64,64,95.0,92.0
16,54,87.0,99.0,3.0,73,73,22.0,65.0
17,4,92.0,28.0,16.0,106,106,37.0,105.0
18,37,101.0,90.0,52.0,59,59,69.0,84.0
19,18,65.0,0.0,53.0,87,87,6.0,91.0
20,14,63.0,24.0,69.0,92,92,13.0,55.0
21,29,76.0,46.0,105.0,34,34,21.0,74.0
22,5,74.0,65.0,84.0,55,55,25.0,75.0
23,53,24.0,83.0,91.0,16,16,31.0,3.0
24,40,46.0,101.0,75.0,22,22,39.0,62.0
25,9,2.0,33.0,62.0,54,54,11.0,16.0
26,69,8.0,56.0,18.0,67,67,17.0,69.0
27,90,10.0,57.0,29.0,37,37,23.0,68.0
28,28,22.0,58.0,80.0,18,18,94.0,80.0
29,33,41.0,59.0,89.0,14,14,99.0,89.0
30,19,69.0,61.0,93.0,29,29,28.0,93.0
31,44,105.0,63.0,95.0,53,53,90.0,95.0
32,64,23.0,64.0,68.0,40,40,0.0,52.0
33,73,84.0,66.0,94.0,62,62,24.0,53.0
34,106,91.0,67.0,99.0,80,80,46.0,67.0
35,59,75.0,70.0,57.0,95,95,65.0,18.0
36,87,18.0,71.0,58.0,93,93,83.0,29.0
37,92,29.0,72.0,61.0,89,89,101.0,57.0
38,105,5.0,73.0,66.0,69,69,33.0,58.0
39,74,40.0,76.0,67.0,90,90,56.0,61.0
40,75,62.0,77.0,70.0,28,28,57.0,66.0
41,84,68.0,78.0,71.0,9,9,58.0,70.0
42,91,80.0,79.0,78.0,33,33,61.0,71.0
43,68,95.0,81.0,79.0,19,19,63.0,78.0
44,101,93.0,84.0,81.0,44,44,66.0,79.0
45,65,89.0,85.0,85.0,105,105,70.0,81.0
46,67,54.0,86.0,86.0,74,74,71.0,85.0
47,56,4.0,87.0,96.0,75,75,72.0,86.0
48,77,37.0,91.0,97.0,84,84,76.0,96.0
49,72,14.0,92.0,100.0,91,91,77.0,97.0
50,82,67.0,96.0,102.0,68,68,78.0,100.0
51,6,57.0,97.0,22.0,101,101,79.0,102.0
52,13,58.0,100.0,6.0,65,65,81.0,22.0
53,17,61.0,102.0,13.0,56,56,84.0,6.0
54,31,66.0,105.0,21.0,77,77,85.0,13.0
55,39,70.0,106.0,25.0,72,72,86.0,21.0
56,11,71.0,75.0,31.0,82,82,91.0,25.0
57,21,78.0,82.0,39.0,6,6,96.0,31.0
58,25,79.0,88.0,90.0,13,13,97.0,39.0
59,83,81.0,98.0,83.0,17,17,100.0,83.0
60,63,85.0,103.0,11.0,31,31,102.0,11.0
61,76,86.0,104.0,17.0,39,39,105.0,17.0
62,57,96.0,19.0,23.0,11,11,75.0,23.0
63,58,97.0,60.0,0.0,21,21,82.0,0.0
64,61,100.0,62.0,24.0,25,25,88.0,24.0
65,66,102.0,68.0,46.0,83,83,98.0,46.0
66,70,90.0,80.0,88.0,63,63,103.0,88.0
67,71,83.0,89.0,98.0,76,76,104.0,98.0
68,78,6.0,93.0,103.0,57,57,19.0,103.0
69,79,13.0,95.0,104.0,58,58,60.0,104.0
70,81,17.0,74.0,5.0,61,61,68.0,5.0
71,85,31.0,14.0,40.0,66,66,74.0,40.0
72,86,39.0,44.0,60.0,70,70,9.0,60.0
73,96,11.0,34.0,2.0,71,71,14.0,2.0
74,97,21.0,,8.0,78,78,44.0,8.0
75,100,25.0,,10.0,79,79,34.0,10.0
76,102,88.0,,,81,81,,
77,0,98.0,,,85,85,,
78,88,103.0,,,86,86,,
79,98,104.0,,,96,96,,
80,103,60.0,,,97,97,,
81,104,0.0,,,100,100,,
82,60,20.0,,,102,102,,
83,62,44.0,,,0,0,,
84,80,9.0,,,88,88,,
85,89,48.0,,,98,98,,
86,93,19.0,,,103,103,,
87,95,33.0,,,104,104,,
88,34,28.0,,,60,60,,
89,20,34.0,,,20,20,,
90,48,1.0,,,48,48,,
91,1,,,,1,1,,
